"Date","Price","Open","High","Low","Vol.","Change %"
"12-08-2025","119,437.9","118,689.6","119,692.3","118,217.4","56.44K","0.63%"
"11-08-2025","118,689.6","119,291.8","122,319.5","118,242.5","81.13K","-0.50%"
"10-08-2025","119,287.0","116,468.4","119,305.3","116,468.4","46.65K","2.42%"
"09-08-2025","116,471.6","116,676.5","117,893.0","116,357.7","34.33K","-0.18%"
"08-08-2025","116,676.3","117,480.5","117,625.1","115,917.8","39.88K","-0.68%"
"07-08-2025","117,480.5","115,002.1","117,628.4","114,267.3","47.52K","2.16%"
"06-08-2025","115,002.1","114,131.7","115,714.0","113,361.2","34.73K","0.76%"
"05-08-2025","114,139.1","115,055.3","115,111.7","112,678.9","41.41K","-0.80%"
"04-08-2025","115,055.3","114,213.1","115,720.9","114,116.1","36.55K","0.74%"
"03-08-2025","114,213.1","112,547.9","114,758.4","111,992.4","27.15K","1.48%"
"02-08-2025","112,547.7","113,306.4","114,050.0","112,015.5","38.34K","-0.67%"
"01-08-2025","113,312.1","115,766.7","116,054.6","112,760.6","77.85K","-2.12%"
"31-07-2025","115,765.0","117,840.4","118,920.7","115,510.0","56.43K","-1.76%"
"30-07-2025","117,840.4","117,949.8","118,693.5","115,830.7","48.17K","-0.09%"
"29-07-2025","117,950.1","118,054.8","119,261.0","117,002.7","51.88K","-0.09%"
"28-07-2025","118,053.9","119,402.7","119,788.2","117,426.5","61.81K","-1.13%"
"27-07-2025","119,398.1","117,918.3","119,771.1","117,840.4","34.87K","1.26%"
"26-07-2025","117,917.6","117,632.2","118,298.1","117,150.5","31.06K","0.24%"
"25-07-2025","117,631.9","118,311.5","118,449.8","114,843.5","131.51K","-0.57%"
"24-07-2025","118,310.9","118,760.7","119,459.7","117,141.7","55.00K","-0.38%"
"23-07-2025","118,763.0","119,965.5","120,089.5","117,345.2","50.19K","-1.00%"
"22-07-2025","119,965.5","117,388.2","120,253.1","116,199.1","70.23K","2.20%"
"21-07-2025","117,388.1","117,297.2","119,634.0","116,540.9","54.78K","0.08%"
"20-07-2025","117,297.2","117,848.4","118,860.0","116,515.2","40.07K","-0.47%"
"19-07-2025","117,848.4","117,942.3","118,508.2","117,308.6","23.56K","-0.08%"
"18-07-2025","117,940.3","119,196.4","120,801.2","116,839.2","66.90K","-1.05%"
"17-07-2025","119,194.9","118,680.6","120,944.5","117,489.7","55.75K","0.43%"
"16-07-2025","118,683.2","117,762.4","120,028.0","117,030.5","60.71K","0.78%"
"15-07-2025","117,762.3","119,846.7","119,944.0","115,774.0","113.79K","-1.74%"
"14-07-2025","119,849.5","119,092.2","123,104.7","118,913.7","89.94K","0.64%"
"13-07-2025","119,090.6","117,422.4","119,441.6","117,247.7","33.24K","1.42%"
"12-07-2025","117,419.5","117,535.6","118,206.6","116,951.2","32.19K","-0.10%"
