"Date","Price","Open","High","Low","Vol.","Change %"
"12-08-2025","4,423.28","4,221.25","4,436.56","4,220.72","735.93K","4.74%"
"11-08-2025","4,223.21","4,249.40","4,362.17","4,167.96","722.66K","-0.64%"
"10-08-2025","4,250.57","4,262.32","4,330.90","4,163.35","494.84K","-0.24%"
"09-08-2025","4,260.63","4,009.54","4,324.04","4,007.01","691.93K","6.28%"
"08-08-2025","4,008.83","3,912.35","4,067.35","3,880.20","723.29K","2.53%"
"07-08-2025","3,909.92","3,682.32","3,925.09","3,649.81","631.66K","6.15%"
"06-08-2025","3,683.32","3,611.83","3,697.73","3,565.14","365.31K","1.98%"
"05-08-2025","3,611.72","3,720.54","3,720.54","3,548.41","489.08K","-2.94%"
"04-08-2025","3,720.97","3,499.19","3,734.06","3,491.07","463.36K","6.43%"
"03-08-2025","3,496.13","3,393.01","3,521.09","3,357.85","296.35K","3.01%"
"02-08-2025","3,393.92","3,487.70","3,536.94","3,375.00","494.19K","-2.70%"
"01-08-2025","3,488.21","3,697.93","3,723.94","3,433.63","783.90K","-5.68%"
"31-07-2025","3,698.35","3,810.00","3,877.84","3,685.23","516.40K","-2.90%"
"30-07-2025","3,809.00","3,794.26","3,834.00","3,682.00","525.08K","0.40%"
"29-07-2025","3,793.80","3,799.00","3,885.02","3,717.26","584.48K","-0.08%"
"28-07-2025","3,796.91","3,872.19","3,940.94","3,755.35","620.68K","-1.93%"
"27-07-2025","3,871.56","3,741.41","3,878.34","3,732.31","457.34K","3.49%"
"26-07-2025","3,740.94","3,725.03","3,792.06","3,701.30","407.25K","0.43%"
"25-07-2025","3,725.02","3,707.28","3,744.99","3,577.61","764.62K","0.56%"
"24-07-2025","3,704.18","3,628.45","3,770.97","3,509.29","749.36K","2.13%"
"23-07-2025","3,626.77","3,744.63","3,763.58","3,529.36","800.08K","-3.18%"
"22-07-2025","3,745.78","3,762.87","3,798.65","3,620.79","870.13K","-0.42%"
"21-07-2025","3,761.49","3,756.70","3,855.88","3,702.32","812.08K","0.11%"
"20-07-2025","3,757.45","3,593.74","3,818.70","3,579.14","852.34K","4.60%"
"19-07-2025","3,592.05","3,546.93","3,607.68","3,509.99","381.79K","1.31%"
"18-07-2025","3,545.60","3,478.49","3,672.84","3,462.76","1.16M","2.10%"
"17-07-2025","3,472.80","3,372.80","3,520.81","3,315.34","974.19K","2.91%"
"16-07-2025","3,374.50","3,137.89","3,424.00","3,101.16","1.14M","7.51%"
"15-07-2025","3,138.83","3,013.61","3,141.62","2,935.09","863.34K","4.15%"
"14-07-2025","3,013.62","2,972.44","3,081.61","2,963.35","815.55K","1.40%"
"13-07-2025","2,971.92","2,943.33","3,019.36","2,937.67","357.34K","1.00%"
"12-07-2025","2,942.42","2,958.21","2,979.39","2,904.98","348.90K","-0.52%"
"11-07-2025","2,957.85","2,951.40","3,038.89","2,916.51","907.98K","0.22%"
"10-07-2025","2,951.28","2,768.75","2,999.39","2,756.06","950.79K","6.61%"
"09-07-2025","2,768.34","2,615.25","2,792.95","2,590.34","686.17K","5.89%"
"08-07-2025","2,614.47","2,542.29","2,627.15","2,523.98","370.80K","2.84%"
"07-07-2025","2,542.30","2,570.79","2,589.29","2,517.86","315.71K","-1.10%"
"06-07-2025","2,570.55","2,516.41","2,600.69","2,503.63","277.60K","2.15%"
"05-07-2025","2,516.34","2,508.04","2,529.66","2,487.96","157.19K","0.33%"
"04-07-2025","2,508.04","2,591.26","2,601.00","2,474.63","452.72K","-3.20%"
"03-07-2025","2,591.01","2,571.27","2,633.70","2,557.31","504.90K","0.80%"
"02-07-2025","2,570.42","2,405.00","2,618.24","2,382.19","634.89K","6.87%"
"01-07-2025","2,405.22","2,485.46","2,500.00","2,389.61","352.09K","-3.27%"
"30-06-2025","2,486.64","2,500.49","2,522.00","2,435.35","440.43K","-0.56%"
"29-06-2025","2,500.67","2,435.62","2,522.78","2,414.06","284.27K","2.67%"
"28-06-2025","2,435.61","2,423.20","2,447.75","2,406.31","156.02K","0.54%"
"27-06-2025","2,422.64","2,415.32","2,462.87","2,389.02","381.29K","0.28%"
"26-06-2025","2,415.80","2,418.59","2,520.24","2,394.33","463.70K","-0.11%"
"25-06-2025","2,418.49","2,448.52","2,467.11","2,393.46","415.15K","-1.24%"
"24-06-2025","2,448.81","2,413.23","2,479.15","2,377.17","516.64K","1.59%"
"23-06-2025","2,410.40","2,226.21","2,431.37","2,189.67","744.47K","8.20%"
"22-06-2025","2,227.70","2,305.00","2,312.99","2,115.47","840.16K","-2.97%"
"21-06-2025","2,295.95","2,405.19","2,448.10","2,220.01","496.78K","-4.59%"
"20-06-2025","2,406.50","2,521.31","2,568.69","2,377.26","632.03K","-4.55%"
"19-06-2025","2,521.12","2,524.68","2,546.25","2,485.04","252.65K","-0.17%"
"18-06-2025","2,525.38","2,510.87","2,545.62","2,468.26","504.68K","0.63%"
"17-06-2025","2,509.51","2,543.89","2,616.80","2,455.90","716.52K","-1.16%"
"16-06-2025","2,539.00","2,547.69","2,678.87","2,516.91","680.16K","-0.34%"
"15-06-2025","2,547.61","2,531.64","2,557.71","2,493.11","299.71K","0.64%"
"14-06-2025","2,531.39","2,573.15","2,574.15","2,491.20","331.41K","-1.84%"
"13-06-2025","2,578.83","2,642.01","2,643.99","2,447.48","1.20M","-2.45%"
"12-06-2025","2,643.65","2,771.72","2,784.47","2,621.69","699.47K","-4.63%"
"11-06-2025","2,772.08","2,816.41","2,877.99","2,745.81","850.40K","-1.56%"
"10-06-2025","2,815.90","2,679.90","2,825.91","2,657.34","1.14M","5.07%"
"09-06-2025","2,680.14","2,509.29","2,693.53","2,477.82","568.69K","6.79%"
"08-06-2025","2,509.83","2,524.63","2,545.71","2,492.10","266.47K","-0.59%"
"07-06-2025","2,524.64","2,476.10","2,542.00","2,457.00","264.81K","1.99%"
"06-06-2025","2,475.30","2,414.02","2,528.83","2,385.60","578.83K","2.54%"
"05-06-2025","2,414.10","2,607.68","2,640.47","2,393.70","808.94K","-7.41%"
"04-06-2025","2,607.32","2,592.99","2,675.29","2,583.82","502.48K","0.55%"
"03-06-2025","2,593.10","2,607.74","2,651.67","2,580.98","454.40K","-0.53%"
"02-06-2025","2,606.84","2,537.50","2,614.73","2,476.49","469.07K","2.73%"
"01-06-2025","2,537.51","2,528.05","2,546.99","2,471.14","331.75K","0.37%"
"31-05-2025","2,528.05","2,529.79","2,550.14","2,486.17","394.54K","-0.13%"
"30-05-2025","2,531.39","2,631.96","2,648.70","2,509.43","763.05K","-3.79%"
"29-05-2025","2,631.20","2,680.90","2,784.26","2,621.90","811.56K","-1.87%"
"28-05-2025","2,681.31","2,660.31","2,688.69","2,609.20","560.07K","0.77%"
"27-05-2025","2,660.80","2,563.99","2,711.82","2,512.14","798.44K","3.78%"
"26-05-2025","2,563.89","2,550.55","2,596.90","2,529.79","362.97K","0.50%"
"25-05-2025","2,551.23","2,529.41","2,554.00","2,467.82","360.05K","0.87%"
"24-05-2025","2,529.31","2,525.28","2,575.67","2,515.51","257.38K","0.11%"
"23-05-2025","2,526.50","2,664.50","2,732.05","2,503.08","971.43K","-5.19%"
"22-05-2025","2,664.69","2,552.06","2,692.50","2,545.67","852.56K","4.44%"
"21-05-2025","2,551.41","2,524.47","2,614.77","2,453.19","1.10M","1.09%"
"20-05-2025","2,523.84","2,528.29","2,587.39","2,446.21","677.11K","-0.18%"
"19-05-2025","2,528.30","2,499.90","2,543.32","2,352.50","862.05K","1.18%"
"18-05-2025","2,498.89","2,475.71","2,585.11","2,341.52","810.06K","0.96%"
"17-05-2025","2,475.08","2,536.10","2,536.58","2,449.76","494.71K","-2.45%"
"16-05-2025","2,537.16","2,548.81","2,647.07","2,531.52","606.05K","-0.43%"
"15-05-2025","2,548.24","2,609.74","2,644.71","2,480.46","768.85K","-2.36%"
"14-05-2025","2,609.71","2,679.55","2,719.26","2,549.05","830.10K","-2.62%"
"13-05-2025","2,680.04","2,495.06","2,734.25","2,418.52","1.03M","7.39%"
"12-05-2025","2,495.68","2,514.58","2,621.10","2,413.49","1.07M","-0.78%"
"11-05-2025","2,515.32","2,582.21","2,594.80","2,440.48","831.64K","-2.66%"
"10-05-2025","2,583.93","2,345.31","2,597.67","2,321.31","979.44K","10.18%"
"09-05-2025","2,345.27","2,207.14","2,486.01","2,185.36","1.67M","6.20%"
"08-05-2025","2,208.38","1,811.00","2,225.00","1,809.04","1.47M","21.93%"
"07-05-2025","1,811.20","1,817.51","1,849.10","1,788.84","456.15K","-0.30%"
"06-05-2025","1,816.63","1,820.06","1,820.41","1,754.30","384.73K","-0.20%"
"05-05-2025","1,820.31","1,808.87","1,831.98","1,783.48","342.15K","0.63%"
"04-05-2025","1,808.86","1,833.52","1,849.67","1,803.79","238.26K","-1.37%"
"03-05-2025","1,833.96","1,842.20","1,848.21","1,812.61","213.75K","-0.44%"
"02-05-2025","1,842.03","1,838.11","1,870.04","1,813.43","410.68K","0.20%"
"01-05-2025","1,838.38","1,793.62","1,872.79","1,792.52","537.21K","2.50%"
"30-04-2025","1,793.58","1,798.06","1,816.40","1,736.20","473.56K","-0.27%"
"29-04-2025","1,798.40","1,799.99","1,842.08","1,781.31","480.43K","-0.05%"
"28-04-2025","1,799.28","1,791.28","1,826.46","1,748.47","587.26K","0.44%"
"27-04-2025","1,791.45","1,820.94","1,854.61","1,785.04","340.34K","-1.61%"
"26-04-2025","1,820.68","1,785.31","1,835.72","1,779.60","355.25K","2.03%"
"25-04-2025","1,784.45","1,768.41","1,825.79","1,739.30","595.61K","0.84%"
"24-04-2025","1,769.64","1,794.44","1,802.51","1,725.57","483.46K","-1.42%"
"23-04-2025","1,795.08","1,756.90","1,831.20","1,745.56","887.61K","2.21%"
"22-04-2025","1,756.24","1,579.15","1,766.55","1,545.19","1.10M","11.18%"
"21-04-2025","1,579.57","1,587.96","1,655.87","1,566.22","691.49K","-0.49%"
"20-04-2025","1,587.29","1,613.02","1,619.05","1,566.80","276.14K","-1.61%"
"19-04-2025","1,613.31","1,588.88","1,627.61","1,585.12","223.08K","1.56%"
"18-04-2025","1,588.60","1,583.48","1,600.63","1,573.75","200.41K","0.31%"
"17-04-2025","1,583.63","1,576.71","1,616.11","1,563.75","449.87K","0.41%"
"16-04-2025","1,577.15","1,586.97","1,612.02","1,538.58","611.39K","-0.73%"
"15-04-2025","1,588.78","1,623.85","1,660.41","1,584.73","476.18K","-2.15%"
"14-04-2025","1,623.77","1,597.21","1,690.52","1,596.08","645.93K","1.62%"
"13-04-2025","1,597.88","1,645.19","1,648.45","1,566.74","580.14K","-2.81%"
"12-04-2025","1,644.11","1,567.14","1,666.46","1,546.67","501.86K","4.93%"
"11-04-2025","1,566.86","1,521.96","1,587.89","1,507.50","578.49K","2.94%"
"10-04-2025","1,522.11","1,668.57","1,668.80","1,474.94","912.58K","-8.82%"
"09-04-2025","1,669.39","1,474.20","1,685.55","1,388.21","1.97M","13.30%"
"08-04-2025","1,473.39","1,552.05","1,618.54","1,450.48","891.85K","-5.13%"
"07-04-2025","1,553.05","1,579.90","1,633.07","1,422.88","2.17M","-1.75%"
"06-04-2025","1,580.69","1,807.13","1,816.34","1,538.52","979.85K","-12.47%"
"05-04-2025","1,805.88","1,816.98","1,827.28","1,766.70","201.72K","-0.61%"
"04-04-2025","1,817.04","1,816.02","1,835.44","1,760.63","572.74K","0.01%"
"03-04-2025","1,816.85","1,795.40","1,843.96","1,752.64","508.07K","1.18%"
"02-04-2025","1,795.68","1,904.76","1,953.71","1,783.00","750.79K","-5.74%"
"01-04-2025","1,904.97","1,822.43","1,925.76","1,818.01","453.00K","4.56%"
"31-03-2025","1,821.92","1,808.07","1,851.52","1,778.43","497.91K","0.83%"
"30-03-2025","1,806.92","1,828.13","1,849.00","1,773.34","327.81K","-1.14%"
"29-03-2025","1,827.69","1,896.90","1,912.80","1,801.44","409.77K","-3.64%"
"28-03-2025","1,896.64","2,003.78","2,015.92","1,864.54","626.13K","-5.34%"
"27-03-2025","2,003.63","2,009.52","2,036.77","1,988.00","360.62K","-0.29%"
"26-03-2025","2,009.53","2,066.15","2,078.20","1,982.57","428.97K","-2.74%"
"25-03-2025","2,066.15","2,080.51","2,094.95","2,038.51","328.82K","-0.72%"
"24-03-2025","2,081.20","2,003.90","2,101.30","1,978.43","477.92K","3.75%"
"23-03-2025","2,005.93","1,980.28","2,019.69","1,977.01","268.66K","1.27%"
"22-03-2025","1,980.78","1,964.60","2,005.80","1,964.60","170.78K","0.77%"
"21-03-2025","1,965.74","1,983.23","1,996.72","1,938.49","262.65K","-0.92%"
"20-03-2025","1,983.90","2,057.25","2,066.34","1,952.86","401.51K","-3.51%"
"19-03-2025","2,056.05","1,932.30","2,069.40","1,927.70","691.81K","6.44%"
"18-03-2025","1,931.72","1,926.90","1,934.56","1,873.21","332.89K","0.28%"
"17-03-2025","1,926.30","1,887.19","1,951.98","1,880.50","334.85K","2.08%"
"16-03-2025","1,887.01","1,937.63","1,940.61","1,863.35","324.77K","-2.59%"
"15-03-2025","1,937.17","1,912.18","1,954.52","1,904.29","209.55K","1.34%"
"14-03-2025","1,911.64","1,863.70","1,945.24","1,861.62","375.82K","2.52%"
"13-03-2025","1,864.59","1,908.82","1,916.32","1,823.65","569.53K","-2.29%"
"12-03-2025","1,908.20","1,922.52","1,955.55","1,833.66","788.75K","-0.78%"
"11-03-2025","1,923.24","1,865.47","1,961.16","1,767.05","1.17M","3.12%"
"10-03-2025","1,865.02","2,021.83","2,144.69","1,820.52","1.25M","-7.66%"
"09-03-2025","2,019.82","2,202.81","2,211.44","1,993.90","601.66K","-8.34%"
"08-03-2025","2,203.58","2,141.03","2,232.27","2,106.79","328.79K","2.90%"
"07-03-2025","2,141.53","2,202.20","2,248.72","2,105.40","782.36K","-2.76%"
"06-03-2025","2,202.38","2,241.12","2,319.80","2,177.63","596.91K","-1.75%"
"05-03-2025","2,241.60","2,170.49","2,272.71","2,156.19","687.13K","3.29%"
"04-03-2025","2,170.20","2,147.63","2,221.71","2,001.16","1.26M","0.99%"
"03-03-2025","2,149.01","2,522.92","2,522.92","2,099.58","1.11M","-14.66%"
"02-03-2025","2,518.10","2,217.39","2,546.36","2,179.80","1.27M","13.56%"
"01-03-2025","2,217.41","2,237.63","2,280.29","2,144.56","446.43K","-0.87%"
"28-02-2025","2,236.81","2,307.85","2,312.62","2,078.11","1.29M","-3.05%"
"27-02-2025","2,307.24","2,339.60","2,379.91","2,232.23","637.64K","-1.31%"
"26-02-2025","2,337.95","2,495.70","2,507.10","2,258.27","862.99K","-6.33%"
"25-02-2025","2,495.98","2,512.48","2,533.08","2,339.50","1.32M","-0.58%"
"24-02-2025","2,510.59","2,820.60","2,838.20","2,492.10","876.45K","-10.96%"
"23-02-2025","2,819.72","2,763.48","2,837.86","2,745.94","610.90K","2.04%"
"22-02-2025","2,763.22","2,661.00","2,795.30","2,654.73","445.09K","3.79%"
"21-02-2025","2,662.32","2,739.90","2,841.54","2,618.86","890.32K","-2.77%"
"20-02-2025","2,738.04","2,715.02","2,767.27","2,707.47","336.75K","0.81%"
"19-02-2025","2,716.09","2,671.99","2,735.97","2,657.11","326.46K","1.67%"
"18-02-2025","2,671.35","2,744.60","2,754.40","2,610.55","604.53K","-2.63%"
"17-02-2025","2,743.42","2,659.58","2,845.98","2,647.40","639.70K","3.02%"
"16-02-2025","2,662.87","2,692.47","2,724.25","2,656.70","191.22K","-1.12%"
"15-02-2025","2,693.04","2,725.48","2,738.09","2,675.49","202.98K","-1.19%"
"14-02-2025","2,725.51","2,676.18","2,789.35","2,665.34","419.95K","1.88%"
"13-02-2025","2,675.19","2,736.91","2,756.22","2,617.53","443.83K","-2.29%"
"12-02-2025","2,737.87","2,602.21","2,789.59","2,553.51","646.29K","5.18%"
"11-02-2025","2,603.09","2,665.03","2,724.48","2,580.17","484.19K","-2.18%"
"10-02-2025","2,660.98","2,630.00","2,691.51","2,563.31","398.17K","1.25%"
"09-02-2025","2,628.13","2,635.11","2,681.92","2,535.09","387.01K","-0.13%"
"08-02-2025","2,631.51","2,619.00","2,666.99","2,590.01","379.74K","0.34%"
"07-02-2025","2,622.68","2,685.50","2,797.10","2,564.78","695.50K","-2.44%"
"06-02-2025","2,688.20","2,791.74","2,854.18","2,666.73","719.52K","-3.50%"
"05-02-2025","2,785.58","2,729.39","2,822.49","2,702.48","686.56K","1.97%"
"04-02-2025","2,731.75","2,878.99","2,885.00","2,635.91","1.26M","-5.21%"
"03-02-2025","2,882.03","2,868.73","2,904.40","2,262.30","2.81M","0.42%"
"02-02-2025","2,869.98","3,116.31","3,163.00","2,789.60","1.05M","-7.99%"
"01-02-2025","3,119.17","3,299.19","3,331.32","3,103.00","354.41K","-5.44%"
"31-01-2025","3,298.55","3,247.35","3,434.05","3,214.11","648.66K","1.58%"
"30-01-2025","3,247.20","3,113.99","3,281.85","3,093.25","350.68K","4.30%"
"29-01-2025","3,113.21","3,078.87","3,171.08","3,055.50","409.86K","1.15%"
"28-01-2025","3,077.71","3,182.78","3,223.00","3,041.03","350.96K","-3.19%"
"27-01-2025","3,179.10","3,225.02","3,252.94","3,030.82","755.07K","-1.70%"
"26-01-2025","3,234.15","3,320.34","3,359.10","3,234.01","272.06K","-2.53%"
"25-01-2025","3,318.15","3,303.52","3,350.20","3,272.36","208.73K","0.22%"
"24-01-2025","3,311.03","3,342.12","3,423.80","3,276.29","451.53K","-0.82%"
"23-01-2025","3,338.40","3,239.00","3,344.32","3,189.50","605.53K","2.95%"
"22-01-2025","3,242.60","3,327.00","3,365.61","3,223.06","349.24K","-2.55%"
"21-01-2025","3,327.54","3,285.88","3,364.92","3,204.61","548.78K","1.37%"
"20-01-2025","3,282.69","3,210.15","3,449.60","3,150.69","1.16M","2.05%"
"19-01-2025","3,216.85","3,304.78","3,445.63","3,133.42","1.34M","-2.78%"
"18-01-2025","3,308.70","3,476.87","3,493.50","3,233.79","634.34K","-4.73%"
"17-01-2025","3,472.90","3,308.05","3,525.21","3,308.05","518.50K","5.02%"
"16-01-2025","3,306.98","3,451.70","3,459.99","3,267.32","471.26K","-4.17%"
"15-01-2025","3,450.81","3,227.30","3,469.62","3,187.63","464.16K","7.04%"
"14-01-2025","3,223.95","3,136.91","3,254.06","3,127.17","374.32K","2.75%"
"13-01-2025","3,137.60","3,267.45","3,337.89","2,943.46","845.96K","-3.97%"
"12-01-2025","3,267.30","3,283.78","3,299.57","3,225.00","164.80K","-0.47%"
"11-01-2025","3,282.83","3,266.31","3,319.32","3,218.80","151.68K","0.48%"
"10-01-2025","3,267.04","3,223.61","3,320.99","3,197.91","454.18K","1.52%"
"09-01-2025","3,218.05","3,325.53","3,356.66","3,160.60","501.80K","-3.28%"
